Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0.0,6.186455726623540,0.0,6.186455726623540,0.0
1,1.74692810742171E-07,6.186455726623540,0.0,6.186455726623540,0.0
2,3.49385621484342E-07,6.1850080490112300,0.0,6.1850080490112300,0.0
3,5.24078432226513E-07,6.182128429412840,0.0,6.182128429412840,0.0
4,6.98771242968684E-07,6.177819728851320,0.0,6.177819728851320,0.0
5,8.73464053710855E-07,6.172093391418460,0.0,6.172093391418460,0.0
6,1.04815686445303E-06,6.164965629577640,0.0,6.164965629577640,0.0
7,1.2228496751952E-06,6.156435489654540,0.0,6.156435489654540,0.0
8,1.39754248593737E-06,6.146518230438230,0.0,6.146518230438230,0.0
9,1.57223529667954E-06,6.135208606719970,0.0,6.135208606719970,0.0
10,1.74692810742171E-06,6.122523307800290,0.0,6.122523307800290,0.0
11,1.92162091816388E-06,6.108521461486820,0.0,6.108521461486820,0.0
12,2.09631372890605E-06,6.093225002288820,0.0,6.093225002288820,0.0
13,2.27100653964822E-06,6.076658725738530,0.0,6.076658725738530,0.0
14,2.4456993503904E-06,6.058856010437010,0.0,6.058856010437010,0.0
15,2.62039216113257E-06,6.039900779724120,0.0,6.039900779724120,0.0
16,2.79508497187474E-06,6.019864559173580,0.0,6.019864559173580,0.0
17,2.96977778261691E-06,5.99875020980835,0.0,5.99875020980835,0.0
18,3.14447059335908E-06,5.976586818695070,0.0,5.976586818695070,0.0
19,3.31916340410125E-06,5.953488349914550,0.0,5.953488349914550,0.0
20,3.49385621484342E-06,5.929470539093020,0.0,5.929470539093020,0.0
21,3.66854902558559E-06,5.904608726501470,0.0,5.904608726501470,0.0
22,3.84324183632776E-06,5.879003524780270,0.0,5.879003524780270,0.0
23,4.01793464706993E-06,5.852679252624510,0.0,5.852679252624510,0.0
24,4.19262745781211E-06,5.82579231262207,0.0,5.82579231262207,0.0
25,4.36732026855428E-06,5.798393726348880,0.003693444188684230,5.798393726348880,0.003693444188684230
26,4.54201307929645E-06,5.770635604858400,0.003693444188684230,5.770635604858400,0.003693444188684230
27,4.71670589003862E-06,5.742629528045650,0.006463527213782070,5.742629528045650,0.006463527213782070
28,4.89139870078079E-06,5.714476585388180,0.008310249075293540,5.714476585388180,0.008310249075293540
29,5.06609151152296E-06,5.6862382888793900,0.012927054427564100,5.6862382888793900,0.012927054427564100
30,5.24078432226513E-06,5.657952785491940,0.020313942804932600,5.657952785491940,0.020313942804932600
31,5.4154771330073E-06,5.629697799682620,0.026777470484376000,5.629697799682620,0.026777470484376000
32,5.59016994374947E-06,5.601603031158450,0.028624191880226100,5.601603031158450,0.028624191880226100
33,5.76486275449165E-06,5.573713302612310,0.035087719559669500,5.573713302612310,0.035087719559669500
34,5.93955556523382E-06,5.545975685119630,0.04432132840156560,5.545975685119630,0.04432132840156560
35,6.11424837597599E-06,5.5184454917907700,0.04616805166006090,5.5184454917907700,0.04616805166006090
36,6.28894118671816E-06,5.4912495613098100,0.05263157933950420,5.4912495613098100,0.05263157933950420
37,6.46363399746033E-06,5.464385986328130,0.056325022131204600,5.464385986328130,0.056325022131204600
38,6.6383268082025E-06,5.437891483306890,0.056325022131204600,5.437891483306890,0.056325022131204600
39,6.81301961894467E-06,5.411744117736820,0.0590951070189476,5.411744117736820,0.0590951070189476
40,6.98771242968684E-06,5.386026859283450,0.05724838376045230,5.386026859283450,0.05724838376045230
41,7.16240524042901E-06,5.3607354164123500,0.0590951070189476,5.3607354164123500,0.0590951070189476
42,7.33709805117119E-06,5.335890293121340,0.06278855353593830,5.335890293121340,0.06278855353593830
43,7.51179086191336E-06,5.311644077301030,0.0618651919066906,5.311644077301030,0.0618651919066906
44,7.68648367265553E-06,5.2878875732421900,0.06094183027744290,5.2878875732421900,0.06094183027744290
45,7.8611764833977E-06,5.264736652374270,0.06094183027744290,5.264736652374270,0.06094183027744290
46,8.03586929413987E-06,5.242058753967290,0.06094183027744290,5.242058753967290,0.06094183027744290
47,8.21056210488204E-06,5.219826698303220,0.0618651919066906,5.219826698303220,0.0618651919066906
48,8.38525491562421E-06,5.198130130767820,0.0618651919066906,5.198130130767820,0.0618651919066906
49,8.55994772636638E-06,5.1769700050354,0.0618651919066906,5.1769700050354,0.0618651919066906
50,8.73464053710855E-06,5.156264305114750,0.0618651919066906,5.156264305114750,0.0618651919066906
51,8.90933334785073E-06,5.136034965515140,0.0618651919066906,5.136034965515140,0.0618651919066906
52,9.0840261585929E-06,5.116305351257320,0.0618651919066906,5.116305351257320,0.0618651919066906
53,9.25871896933507E-06,5.097041606903080,0.0618651919066906,5.097041606903080,0.0618651919066906
54,9.43341178007724E-06,5.078175067901610,0.0618651919066906,5.078175067901610,0.0618651919066906
55,9.60810459081941E-06,5.059689521789550,0.0618651919066906,5.059689521789550,0.0618651919066906
56,9.78279740156158E-06,5.0416107177734400,0.0618651919066906,5.0416107177734400,0.0618651919066906
57,9.95749021230375E-06,5.0238938331604,0.0618651919066906,5.0238938331604,0.0618651919066906
58,1.01321830230459E-05,5.0065789222717300,0.0618651919066906,5.0065789222717300,0.0618651919066906
59,1.03068758337881E-05,4.989634990692140,0.0618651919066906,4.989634990692140,0.0618651919066906
60,1.04815686445303E-05,4.973062515258790,0.0618651919066906,4.973062515258790,0.0618651919066906
61,1.06562614552724E-05,4.956913471221920,0.0618651919066906,4.956913471221920,0.0618651919066906
62,1.08309542660146E-05,4.941181182861330,0.0618651919066906,4.941181182861330,0.0618651919066906
